imdbID,movieType,title,year,runtime,imdbVotes,imdbRating,gross
tt0118665,0,Baby Geniuses,1999,97.0,19205.0,2.5,27141959.0
tt0058548,0,Santa Claus Conquers the Martians,1964,81.0,8735.0,2.5,9953229.73333
tt0089280,0,Hobgoblins,1988,88.0,8416.0,2.3,9953229.73333
tt0830861,0,A Fox's Tale,2008,85.0,7203.0,2.2,9953229.73333
tt0299930,0,Gigli,2003,121.0,41461.0,2.4,5660084.0
tt0057507,0,The Skydivers,1963,75.0,4389.0,3.0,9953229.73333
tt0105643,0,Troll 2,1990,95.0,24264.0,2.7,9953229.73333
tt0057181,0,The Incredibly Strange Creatures Who Stopped Living and Became Mixed-Up Zombies!!?,1964,82.0,3956.0,2.2,9953229.73333
tt0168172,0,Simon Sez,1999,85.0,5830.0,2.5,185472.0
tt0112873,0,A Story About Love,1995,70.0,2805.0,2.4,9953229.73333
tt0092297,0,Zombie Nightmare,1987,89.0,2358.0,2.2,9953229.73333
tt0075343,0,Track of the Moon Beast,1976,90.0,2906.0,2.1,9953229.73333
tt1316037,0,Birdemic: Shock and Terror,2010,105.0,13906.0,1.8,9953229.73333
tt0054333,0,Body in the Web,1960,77.0,2967.0,2.4,9953229.73333
tt0088380,0,Warrior of the Lost World,1983,92.0,1626.0,2.3,9953229.73333
tt1520498,1,The Oogieloves in the Big Balloon Adventure,2012,88.0,13811.0,6.9,1064277.0
tt2071491,0,Attack of the Jurassic Shark,2012,75.0,2497.0,1.5,9953229.73333
tt1651323,0,Breaking Wind,2012,82.0,3527.0,2.5,9953229.73333
tt0466342,0,Date Movie,2006,83.0,50184.0,2.7,48546578.0
tt2344678,0,Himmatwala,2013,150.0,6045.0,1.8,270880.0
tt0185183,0,Battlefield Earth,2000,118.0,64998.0,2.4,21471685.0
tt0953989,0,Yes Sir,2007,100.0,5759.0,1.8,9953229.73333
tt0785077,0,Who's Your Caddy?,2007,93.0,13802.0,2.0,5694308.0
tt0058615,0,The Starfighters,1964,78.0,2990.0,2.3,9953229.73333
tt0109376,0,"Car 54, Where Are You?",1994,89.0,3855.0,2.4,1238080.0
tt0451109,0,The Maize: The Movie,2004,100.0,2478.0,2.1,9953229.73333
tt0426615,0,In the Mix,2005,95.0,7459.0,2.6,10105281.0
tt0071198,0,The Bat People,1974,91.0,1689.0,2.2,9953229.73333
tt0055946,0,Eegah,1962,90.0,4402.0,2.2,9953229.73333
tt0053464,0,Prince of Space,1959,121.0,2386.0,2.1,9953229.73333
tt0077834,0,Laserblast,1978,85.0,4306.0,2.5,9953229.73333
tt0162930,0,Die Hard Dracula,1998,88.0,3033.0,2.0,9953229.73333
tt0093405,0,Leonard Part 6,1987,85.0,7020.0,2.2,4916871.0
tt0330994,0,Titanic: The Legend Goes On...,2000,90.0,7627.0,2.1,9953229.73333
tt0114658,0,Theodore Rex,1995,92.0,3027.0,2.4,9953229.73333
tt0382028,0,Fat Slags,2004,75.0,3541.0,2.6,9953229.73333
tt0369226,0,Alone in the Dark,2005,96.0,37410.0,2.3,5132655.0
tt0174685,0,Girl in Gold Boots,1968,94.0,3115.0,2.2,9953229.73333
tt1213644,0,Disaster Movie,2008,87.0,74633.0,1.9,14174654.0
tt0096149,0,Space Mutiny,1988,91.0,5581.0,2.0,9953229.73333
tt0367677,0,Dracula 3000,2004,86.0,4813.0,2.0,9953229.73333
tt0072666,0,Zaat,1971,100.0,3882.0,2.5,9953229.73333
tt4458206,0,Code Name: K.O.Z.,2015,114.0,17920.0,1.6,9953229.73333
tt0060666,0,Manos: The Hands of Fate,1966,70.0,30374.0,1.9,9953229.73333
tt0339034,0,From Justin to Kelly,2003,81.0,23528.0,2.1,4922166.0
tt0086026,0,Extra Terrestrial Visitors,1983,80.0,3751.0,2.1,9953229.73333
tt0054673,0,The Beast of Yucca Flats,1961,54.0,6499.0,2.4,9953229.73333
tt0473024,0,Crossover,2006,95.0,8696.0,2.1,7009668.0
tt0118589,0,Glitter,2001,104.0,19309.0,2.1,4273372.0
tt0417056,0,Pledge This!,2006,91.0,15267.0,1.9,9953229.73333
tt0456014,0,Surf School,2006,87.0,4589.0,2.1,9953229.73333
tt0066476,0,The Touch of Satan,1971,90.0,2288.0,2.1,9953229.73333
tt0116165,0,Ed,1996,94.0,7030.0,2.6,6288000.0
tt5290620,0,Kyaa Kool Hain Hum 3,2016,124.0,2746.0,1.8,9953229.73333
tt0317676,0,House of the Dead,2003,90.0,31929.0,2.0,10199354.0
tt0055562,0,Invasion of the Neptune Men,1961,74.0,2102.0,1.9,9953229.73333
tt0804492,0,The Hottie & the Nottie,2008,91.0,33378.0,1.9,27696.0
tt0086972,0,The Blade Master,1982,92.0,2864.0,2.2,9953229.73333
tt0050717,0,The Aztec Mummy Against the Humanoid Robot,1958,65.0,1723.0,2.2,9953229.73333
tt1098327,0,Dragonball: Evolution,2009,85.0,55878.0,2.7,9353573.0
tt4404474,0,Kartoffelsalat,2015,81.0,5171.0,1.2,9953229.73333
tt0470833,0,Keloglan vs. the Black Prince,2006,105.0,7872.0,1.8,9953229.73333
tt0145529,0,Time Chasers,1994,89.0,2549.0,2.3,9953229.73333
tt3036740,0,Humshakals,2014,159.0,5652.0,1.8,9953229.73333
tt0087258,0,Final Justice,1985,90.0,2661.0,2.0,9953229.73333
tt0270846,0,Superbabies: Baby Geniuses 2,2004,88.0,24996.0,1.9,9109322.0
tt0117550,0,Santa with Muscles,1996,97.0,7789.0,2.4,198717.0
tt0808240,0,Turks in Space,2006,110.0,13025.0,1.9,9953229.73333
tt0249516,0,Foodfight!,2012,91.0,4214.0,1.7,9953229.73333
tt0421051,0,Daniel der Zauberer,2004,81.0,12623.0,2.0,9953229.73333
tt0061191,0,The Wild World of Batwoman,1966,70.0,3811.0,2.1,9953229.73333
tt1073498,0,Meet the Spartans,2008,86.0,87853.0,2.7,38232624.0
tt1572311,0,Tees Maar Khan,2010,135.0,8168.0,2.5,1076266.0
tt0118836,0,Chairman of the Board,1998,95.0,5069.0,2.3,306715.0
tt0315775,0,Anne B. Real,2003,91.0,3511.0,2.1,9953229.73333
tt0362165,0,Son of the Mask,2005,94.0,40124.0,2.2,17010646.0
tt0037798,0,I Accuse My Parents,1944,68.0,2204.0,2.3,9953229.73333
tt0059464,0,Monster a-Go Go,1965,70.0,6177.0,2.3,9953229.73333
tt2814362,0,United Passions,2014,110.0,3157.0,2.0,9953229.73333
tt1674047,0,Birdemic 2: The Resurrection,2013,90.0,2655.0,1.7,9953229.73333
tt0053241,0,Santa Claus,1959,94.0,3600.0,2.4,9953229.73333
tt0469849,0,Too Beautiful,2005,97.0,4406.0,2.9,9953229.73333
tt0081693,0,The Pumaman,1980,90.0,3367.0,2.1,9953229.73333
tt0073396,0,Mitchell,1975,97.0,3702.0,2.4,9953229.73333
tt0096870,0,Going Overboard,1989,99.0,10437.0,1.9,9953229.73333
tt0088772,0,Boggy Creek II: And the Legend Continues,1984,91.0,2684.0,2.3,9953229.73333
tt0088100,0,Devil Fish,1984,90.0,2422.0,2.3,9953229.73333
tt0364986,0,Ben & Arthur,2002,85.0,6920.0,2.2,9953229.73333
tt0201844,0,Survival Island,2002,85.0,3418.0,2.4,9953229.73333
tt0799949,0,Epic Movie,2007,86.0,89353.0,2.3,39737645.0
tt0100665,0,Soultaker,1990,94.0,3144.0,2.2,9953229.73333
tt1623780,0,The Legend of the Titanic,1999,84.0,2255.0,1.6,9953229.73333
tt0060753,0,Night Train to Mundo Fine,1966,89.0,5823.0,2.7,9953229.73333
tt4009460,0,Saving Christmas,2014,80.0,11195.0,1.5,2778297.0
tt0110169,0,It's Pat,1994,77.0,8338.0,2.7,60822.0
tt0116839,0,Lawnmower Man 2: Beyond Cyberspace,1996,93.0,7908.0,2.4,2409225.0
tt0929809,0,The Class,2007,100.0,2385.0,2.1,9953229.73333
tt0463392,0,Zombie Nation,2005,81.0,7515.0,2.1,9953229.73333
